"名称","種別","所在地","新指定年月日"
"阿野一里塚","史跡","愛知県豊明市",36/12/16
"桶狭間古戦場伝説地附戦人塚","史跡","愛知県豊明市",37/12/21
"富田一里塚","史跡","愛知県尾西市",37/12/21
"大平一里塚","史跡","愛知県岡崎市",37/12/21
"小堤西池のカキツバタ群落","天然記念物","愛知県刈谷市",38/08/08
"大高城跡附丸根砦跡　鷲津砦跡","史跡","愛知県名古屋市緑区",38/12/14
"牛久保のナギ","天然記念物","愛知県豊川市",38/12/14
"長久手古戦場附御旗山　首塚　色金山","史跡","愛知県長久手町",39/09/07
"大曲輪貝塚","史跡","愛知県名古屋市瑞穂区",41/01/27
"大嶋ナメクジウオ生息地","天然記念物","愛知県蒲郡市",41/03/27
"黄柳野ツゲ自生地","天然記念物","愛知県鳳来町",44/03/07
"杉本の貞観スギ","天然記念物","愛知県旭町",44/06/26
"御油のマツ並木","天然記念物","愛知県豊川市",44/11/07
"吉胡貝塚","史跡","愛知県田原町",51/12/26
"石巻山石灰岩地植物群落","天然記念物","愛知県豊橋市",52/10/11
"名古屋城二之丸庭園","名勝","愛知県名古屋市中区",53/03/31
"入海貝塚","史跡","愛知県東浦町",53/11/14
"瓜郷遺跡","史跡","愛知県豊橋市",53/11/14
"宮山原始林","天然記念物","愛知県渥美町",54/03/20
"嵩山蛇穴","史跡","愛知県豊橋市",57/07/01
"伊良湖東大寺瓦窯跡","史跡","愛知県渥美町",67/12/11
"椛のシデコブシ自生地","天然記念物","愛知県渥美町",70/06/19
"大アラコ古窯跡","史跡","愛知県田原町",71/01/12
"小長曽陶器窯跡","史跡","愛知県瀬戸市",71/07/13
"貝殻山貝塚","史跡","愛知県清洲町",71/12/15
"甘泉寺のコウヤマキ","天然記念物","愛知県作手村",72/05/26
"白鳥塚古墳","史跡","愛知県名古屋市守山区",72/11/06
"東之宮古墳","史跡","愛知県犬山市",75/07/19
"真宮遺跡","史跡","愛知県岡崎市",76/06/07
"青塚古墳","史跡","愛知県犬山市",83/02/08
"断夫山古墳","史跡","愛知県名古屋市熱田区",87/07/09
"松平氏遺跡","史跡","愛知県豊田市",00/02/04
"御墓山古墳","史跡","三重県上野市",21/03/03
"本居宜長旧宅・同宅跡","特別史跡","三重県松阪市",22/03/08
"伊勢国分寺跡","史跡","三重県鈴鹿市",22/10/12
"東阿倉川イヌナシ自生地","天然記念物","三重県四日市市",22/10/12
"西阿倉川アイナシ自生地","天然記念物","三重県四日市市",22/10/12
"長楽山廃寺跡","史跡","三重県上野市",23/03/07
"旧豊宮崎文庫","史跡","三重県伊勢市",23/03/07
"白子不断ザクラ","天然記念物","三重県鈴鹿市",23/03/07
"離宮院跡","史跡","三重県小俣町",24/12/09
"赤目の峡谷","名勝","三重県名張市",25/10/08
"不動院ムカデラン群落","天然記念物","三重県松阪市",27/04/08
"鬼ヶ城暖地性シダ群落","天然記念物","三重県南勢町",28/01/18
"細谷暖地性シダ群落","天然記念物","三重県南勢町",28/01/18
"旧崇広堂","史跡","三重県上野市",30/11/19
"宝塚古墳","史跡","三重県松阪市",32/04/25
"高倉神社のシブナシガヤ","天然記念物","三重県上野市",32/07/25
"果号寺のシブナシガヤ","天然記念物","三重県上野市",32/07/25
"廃補陀落寺町石","史跡","三重県上野市",33/02/28
"野村一里塚","史跡","三重県亀山市",34/01/22
"椋本の大ムク","天然記念物","三重県芸濃町",34/01/22
"熊野の鬼ヶ城附獅子巖","天然記念物・名勝","三重県熊野市",35/12/24
"本居宣長墓(山室山)","史跡","三重県松阪市",36/09/03
"本居宣長墓(樹敬寺)附本居春庭墓","史跡","三重県松阪市",36/09/03
"霧山城跡","史跡","三重県美杉村",36/09/03
"北畠氏館跡庭園","名勝・史跡","三重県美杉村",36/09/03
"斎宮のハナショウブ群落","天然記念物","三重県明和町",36/12/16
"九木神社樹叢","天然記念物","三重県九鬼町",37/04/17
"金生水沼沢植物群落","天然記念物","三重県鈴鹿市",37/04/17
"三多気のサクラ","名勝","三重県美杉村",42/07/21
"谷川士清墓","史跡","三重県津市",44/11/13
"御池沼沢植物群落","天然記念物","三重県四日市市",52/10/11
"明合古墳","史跡","三重県安濃町",52/10/11
"旧林崎文庫","史跡","三重県伊勢市",54/12/15
"大島暖地性植物群落","天然記念物","三重県紀伊長島町",57/07/10
"朝熊山経塚群","史跡","三重県伊勢市",66/04/15
"谷川士清旧宅","史跡","三重県津市",67/06/22
"上野城跡","史跡","三重県上野市",67/12/27
"王塚古墳","史跡","三重県鈴鹿市",70/05/11
"大杉谷","天然記念物","三重県宮川村",72/12/13
"向山古墳","史跡","三重県松阪市・嬉野町",75/06/26
"水池土器製作遺跡","史跡","三重県明和町",77/07/25
"美旗古墳群","史跡","三重県名張市",78/10/17
"斎宮跡","史跡","三重県明和町",79/03/27
"正法寺山荘跡","史跡","三重県関町",81/01/24
"長野氏城跡　長野城跡　東の城跡　中の城跡　西の城跡","史跡","三重県美里村",82/01/16
"阿坂城跡附高城跡　枳城跡","史跡","三重県松阪市",82/04/07
"赤城城跡及び田平子峠刑場跡","史跡","三重県紀和町・他",89/10/09
"夏見廃寺跡","史跡","三重県名張市",90/03/08
"庫蔵寺のコツブガヤ","天然記念物","三重県鳥羽市",93/06/08
"城之越遺跡","名勝・史跡","三重県上野市",93/10/29
"天白遺跡","史跡","三重県嬉野町",00/04/11
"旧諸戸氏庭園","名勝","三重県桑名市",01/08/13
"茶臼山古墳・小茶臼山古墳","史跡","滋賀県大津市",21/03/03
"平松のウツクシマツ自生地","天然記念物","滋賀県甲西町",21/03/03
"南花沢のハナノキ","天然記念物","滋賀県湖東町",21/03/03
"北花沢のハナノキ","天然記念物","滋賀県湖東町",21/03/03
"藤樹書院跡","史跡","滋賀県安曇川町",22/03/08
"石山寺珪灰石","天然記念物","滋賀県大津市",22/03/08
"熊野のヒダリマキガヤ","天然記念物","滋賀県日野町",22/10/12
"紫香楽宮跡","史跡","滋賀県信楽町",26/10/20
"廃少菩提寺石多宝塔および石仏","史跡","滋賀県甲西町",26/10/20
"安土城跡","特別史跡","滋賀県安土町・能登川町",26/10/20
"了徳寺のオハツキイチョウ","天然記念物","滋賀県米原町",29/12/17
"竹生島","名勝・史跡","滋賀県びわ町",30/07/08
"北畠具行墓","史跡","滋賀県山東町",30/11/19
"鎌掛谷ホンシャクナゲ群落","天然記念物","滋賀県日野町",31/03/30
"清滝寺京極家墓所","史跡","滋賀県山東町",32/03/25
"円満院庭園","名勝・史跡","滋賀県大津市",34/12/28
"光浄院庭園","名勝・史跡","滋賀県大津市",34/12/28
"善法院庭園","名勝・史跡","滋賀県大津市",34/12/28
"浄信寺庭園","名勝","滋賀県木之本町",34/12/28
"大通寺含山軒および蘭亭庭園","名勝","滋賀県長浜市",34/12/28
"青岸寺庭園","名勝","滋賀県米原町",34/12/28
"胡宮神社社務所庭園","名勝","滋賀県多賀町",34/12/28
"多賀神社奥書院庭園","名勝","滋賀県多賀町",35/06/07
"旧秀隣寺庭園","名勝","滋賀県朽木村",35/12/24
"小谷城跡","史跡","滋賀県湖北町・浅井町",37/04/17
"崇福寺跡","史跡","滋賀県大津市",41/01/27
"大岩山古墳群","史跡","滋賀県野洲町",41/12/13
"醒井峡谷","名勝","滋賀県米原町",41/12/13
"綿向山麓の接触変質地帯","天然記念物","滋賀県日野町",42/09/19
"鎌掛の屏風岩","天然記念物","滋賀県日野町",43/08/24
"長岡のゲンジボタルおよびその発生地","特別天然記念物","滋賀県山東町",44/03/07
"息長ゲンジボタル発生地","天然記念物","滋賀県近江町",44/03/07
"垂水斎王頓宮跡","史跡","滋賀県土山町",44/06/26
"狛坂磨崖仏","史跡","滋賀県栗東町",44/06/26
"別所高師小僧","天然記念物","滋賀県日野町",44/11/13
"旧和中散本舗","史跡","滋賀県栗東町",49/07/13
"草津宿本陣","史跡","滋賀県草津市",49/07/13
"老蘇森","史跡","滋賀県安土町",49/07/13
"彦根城跡","特別史跡","滋賀県彦根市",51/06/09
"玄宮楽々園","名勝","滋賀県彦根市",51/06/09
"兵主神社庭園","名勝","滋賀県中主町",53/03/31
"瓢箪＊山古墳","史跡","滋賀県安土町",57/07/01
"南滋賀町廃寺跡","史跡","滋賀県大津市",57/10/11
"義仲寺境内","史跡","滋賀県大津市",67/11/20
"近江国庁跡附惣山遺跡・青江遺跡","史跡","滋賀県大津市",73/03/15
"大中の湖南遺跡","史跡","滋賀県安土町",73/04/14
"日吉神社境内","史跡","滋賀県大津市",73/10/09
"福田寺庭園","名勝","滋賀県近江町",74/11/26
"皇子山古墳","史跡","滋賀県大津市",74/12/09
"春日山古墳群","史跡","滋賀県大津市",74/12/23
"衣川廃寺跡","史跡","滋賀県大津市",77/03/08
"堂ノ上遺跡","史跡","滋賀県大津市",78/03/14
"近江大津宮錦織遺跡","史跡","滋賀県大津市",79/07/02
"居初氏庭園","名勝","滋賀県大津市",81/06/11
"観音寺城跡","史跡","滋賀県安土町・五個荘町",82/01/30
"野路小野山製鉄遺跡","史跡","滋賀県草津市",85/10/26
"西明寺本坊庭園","名勝","滋賀県甲良町",87/01/24
"金剛輪寺明壽院庭園","名勝","滋賀県秦荘町",90/08/04
"穴太廃寺跡","史跡","滋賀県大津市",97/09/11
"延暦寺坂本里坊庭園　雙厳院庭園・宝積院庭園・滋賀院門跡庭園・佛乗院庭園・旧白亳院庭園・旧竹林院庭園・蓮華院庭園・律院庭園・実蔵坊庭園・寿量院庭園","名勝","滋賀県大津市",98/12/08
"大角氏庭園","名勝","滋賀県栗東町",01/01/29
"函石浜遺物包含地","史跡","京都府久美浜町",21/03/03
"西寺跡","史跡","京都府京都市南区",21/03/03
"銚子山古墳第一・二古墳","史跡","京都府網野町",22/03/08
"天皇の杜古墳","史跡","京都府京都市西京区",22/03/08
"伊藤仁斎宅(古義堂)跡ならびに書庫","史跡","京都府京都市上京区",22/03/08
"頼山陽書斎(山紫水明処)","史跡","京都府京都市上京区",22/03/08
"荷田春満旧宅","史跡","京都府京都市伏見区",22/03/08
"平等院庭園","史跡・名勝","京都府宇治市",22/03/08
"大沢池附名古曽滝跡","名勝","京都府京都市右京区",22/03/08
"天橋立","特別名勝","京都府宮津市",22/03/08
"稗田野の菫青石仮晶","天然記念物","京都府亀岡市",22/03/08
"神明山古墳","史跡","京都府丹後町",23/03/07
"南禅院庭園","史跡・名勝","京都府京都市左京区",23/03/07
"西芳寺庭園","史跡・特別名勝","京都府京都市西京区",23/03/07
"天龍寺庭園","史跡・特別名勝","京都府京都市右京区",23/03/07
"大徳寺方丈庭園","史跡・特別名勝","京都府京都市北区",24/12/09
"真珠庵庭園","史跡・名勝","京都府京都市北区",24/12/09
"大仙院書院庭園","史跡・特別名勝","京都府京都市北区",24/12/09
"孤篷庵庭園","史跡・名勝","京都府京都市北区",24/12/09
"龍安寺方丈庭園","史跡・特別名勝","京都府京都市右京区",24/12/09
"御室(サクラ)","名勝","京都府京都市右京区",24/12/09
"オオミズナギドリ繁殖地","天然記念物","京都府舞鶴市",24/12/09
"鹿苑寺(金閣寺)庭園","特別史跡・特別名勝","京都府京都市北区",25/10/08
"慈照寺(銀閣寺)庭園","特別史跡・特別名勝","京都府京都市左京区",25/10/08
"嵐山","史跡・名勝","京都府京都市右京区・西京区",27/04/08
"醍醐寺三宝院庭園","特別史跡・特別名勝","京都府京都市伏見区",27/06/14
"高台寺庭園","史跡・名勝","京都府京都市東山区",27/06/14
"深泥池生物群集","天然記念物","京都府京都市北区",27/06/14
"石川丈山墓","史跡","京都府京都市左京区",28/01/18
"丹波国分寺跡附八幡神社跡","史跡","京都府亀岡市",28/02/17
"詩仙堂","史跡","京都府京都市左京区",28/03/28
"郷村断層","天然記念物","京都府網野町",29/12/17
"御土居","史跡","京都府京都市北区・中京区・上京区",30/07/08
"蛭子山古墳","史跡","京都府加悦町",30/07/08
"作山古墳","史跡","京都府加悦町",30/07/08
"丹後国分寺跡","史跡","京都府宮津市",30/10/03
"慈照寺(銀閣寺)旧境内","史跡","京都府京都市左京区",31/02/20
"妙心寺庭園","名勝・史跡","京都府京都市右京区",31/07/31
"玉鳳院庭園","名勝・史跡","京都府京都市右京区",31/07/31
"東海庵書院庭園","名勝・史跡","京都府京都市右京区",31/07/31
"霊雲院庭園","名勝・史跡","京都府京都市右京区",31/07/31
"退蔵院庭園","名勝・史跡","京都府京都市右京区",31/07/31
"桂春院庭園","名勝・史跡","京都府京都市右京区",31/07/31
"円山公園","名勝","京都府京都市東山区",31/10/21
"岩倉具視幽棲旧宅","史跡","京都府京都市左京区",32/03/25
"笠置山","史跡・名勝","京都府笠置町",32/04/19
"遊龍松","天然記念物","京都府京都市西京区",32/04/19
"琉璃渓","名勝","京都府園部町",32/10/19
"栗栖野瓦窯跡","史跡","京都府京都市左京区",34/01/22
"高瀬川一之船入","史跡","京都府京都市中京区",34/01/22
"教王護国寺境内","史跡","京都府京都市南区",34/03/13
"金胎寺境内","史跡","京都府和束町",34/03/13
"本願寺大書院庭園","特別名勝・史跡","京都府京都市下京区",34/12/28
"聖護院旧仮皇居","史跡","京都府京都市左京区",35/12/24
"神泉苑","史跡","京都府京都市中京区",35/12/24
"渉成園","名勝","京都府京都市下京区",36/12/16
"仁和寺御所跡","史跡","京都府京都市右京区",38/08/08
"大覚寺御所跡","史跡","京都府京都市右京区",38/08/08
"常照寺の九重ザクラ","天然記念物","京都府京北町",38/08/08
"大田ノ沢のカキツバタ群落","天然記念物","京都府京都市北区",39/09/07
