"都道府県コード","都道府県・市区町村コード","都道府県名","都道府県・市区町村名","（人）","（km2）","（人/km2）"
"01","01549","北海道","訓子府町",5100,190.95,26.7
"01","01550","北海道","置戸町",3092,527.27,5.9
"01","01552","北海道","佐呂間町",5362,404.94,13.2
"01","01555","北海道","遠軽町",20873,1332.45,15.7
"01","01559","北海道","湧別町",9231,505.79,18.3
"01","01560","北海道","滝上町",2721,766.89,3.5
"01","01561","北海道","興部町",3909,362.54,10.8
"01","01562","北海道","西興部村",1116,308.08,3.6
"01","01563","北海道","雄武町",4525,636.86,7.1
"01","01564","北海道","大空町",7360,343.66,21.4
"01","01571","北海道","豊浦町",4291,233.57,18.4
"01","01575","北海道","壮瞥町",2922,205.01,14.3
"01","01578","北海道","白老町",17740,425.64,41.7
"01","01581","北海道","厚真町",4838,404.61,12
"01","01584","北海道","洞爺湖町",9299,180.81,51.4
"01","01585","北海道","安平町",8148,237.16,34.4
"01","01586","北海道","むかわ町",8596,711.36,12.1
"01","01601","北海道","日高町",12378,992.11,12.5
"01","01602","北海道","平取町",5315,743.09,7.2
"01","01604","北海道","新冠町",5592,585.81,9.5
"01","01607","北海道","浦河町",13075,694.26,18.8
"01","01608","北海道","様似町",4518,364.3,12.4
"01","01609","北海道","えりも町",4906,284,17.3
"01","01610","北海道","新ひだか町",23231,1147.55,20.2
"01","01631","北海道","音更町",44807,466.02,96.1
"01","01632","北海道","士幌町",6132,259.19,23.7
"01","01633","北海道","上士幌町",4765,694.23,6.9
"01","01634","北海道","鹿追町",5542,402.88,13.8
"01","01635","北海道","新得町",6288,1063.83,5.9
"01","01636","北海道","清水町",9599,402.25,23.9
"01","01637","北海道","芽室町",18484,513.76,36
"01","01638","北海道","中札内村",3966,292.58,13.6
"01","01639","北海道","更別村",3185,176.9,18
"01","01641","北海道","大樹町",5738,815.68,7
"01","01642","北海道","広尾町",7030,596.54,11.8
"01","01643","北海道","幕別町",26760,477.64,56
"01","01644","北海道","池田町",6882,371.79,18.5
"01","01645","北海道","豊頃町",3182,536.71,5.9
